1,Action
2,Comédie
3,Drame
4,Horreur
5,Science-fiction
6,Fantastique
7,Thriller
8,Animation
9,Documentaire
10,Romance
11,Action - Aventure
12,Comédie romantique
13,Comédie d'action
14,Comédie noire
15,Drame psychologique
16,Drame romantique
17,Drame historique
18,Horreur psychologique
19,Horreur surnaturelle
20,Science-fiction - Action
21,Science-fiction - Horreur
22,Science-fiction - Fantastique
23,Fantastique - Aventure
24,Fantastique - Horreur
25,Thriller psychologique
26,Thriller d'action
27,Thriller criminel
28,Animation - Aventure
29,Animation - Fantastique
30,Animation - Comédie
31,Documentaire politique
32,Documentaire historique
33,Documentaire animalier
34,Romance dramatique
35,Romance d'époque
36,Aventure
37,Horreur-Marrant-Fantastique
